405,Invalid join date
405,Invalid last purchase date
405,Invalid churned value
406,Invalid join date
406,Invalid last purchase date
406,Invalid churned value
407,Invalid join date
407,Invalid last purchase date
407,Invalid churned value
408,Invalid join date
408,Invalid last purchase date
408,Invalid churned value
409,Invalid join date
409,Invalid last purchase date
409,Invalid churned value
410,Invalid join date
410,Invalid last purchase date
410,Invalid churned value
411,Invalid join date
411,Invalid last purchase date
411,Invalid churned value
412,Invalid join date
412,Invalid last purchase date
412,Invalid churned value
413,Invalid join date
413,Invalid last purchase date
413,Invalid churned value
414,Invalid join date
414,Invalid last purchase date
414,Invalid churned value
415,Invalid join date
415,Invalid last purchase date
416,Invalid join date
416,Invalid last purchase date
416,Invalid churned value
417,Invalid join date
417,Invalid last purchase date
417,Invalid churned value
418,Invalid join date
418,Invalid last purchase date
418,Invalid churned value
419,Invalid join date
419,Invalid last purchase date
419,Invalid churned value
420,Invalid join date
420,Invalid last purchase date
420,Invalid churned value
421,Invalid join date
421,Invalid last purchase date
421,Invalid churned value
422,Invalid join date
422,Invalid last purchase date
422,Invalid churned value
423,Invalid join date
423,Invalid last purchase date
423,Invalid churned value
424,Invalid join date
424,Invalid last purchase date
424,Invalid churned value
425,Invalid join date
425,Invalid last purchase date
425,Invalid churned value
426,Invalid join date
426,Invalid last purchase date
426,Invalid churned value
427,Invalid join date
427,Invalid last purchase date
427,Invalid churned value
428,Invalid join date
428,Invalid last purchase date
428,Invalid churned value
429,Invalid join date
429,Invalid last purchase date
429,Invalid churned value
430,Invalid join date
430,Invalid last purchase date
430,Invalid churned value
431,Invalid join date
431,Invalid last purchase date
431,Invalid churned value
432,Invalid join date
432,Invalid last purchase date
432,Invalid churned value
433,Invalid join date
433,Invalid last purchase date
433,Invalid churned value
434,Invalid join date
434,Invalid last purchase date
434,Invalid churned value
435,Invalid join date
435,Invalid last purchase date
435,Invalid churned value
436,Invalid join date
436,Invalid last purchase date
436,Invalid churned value
437,Invalid join date
437,Invalid last purchase date
437,Invalid churned value
438,Invalid join date
438,Invalid last purchase date
438,Invalid churned value
439,Invalid join date
439,Invalid last purchase date
439,Invalid churned value
440,Invalid join date
440,Invalid last purchase date
440,Invalid churned value
441,Invalid join date
441,Invalid last purchase date
441,Invalid churned value
442,Invalid join date
442,Invalid last purchase date
442,Invalid churned value
443,Invalid join date
443,Invalid last purchase date
443,Invalid churned value
444,Invalid join date
444,Invalid last purchase date
444,Invalid churned value
445,Invalid join date
445,Invalid last purchase date
445,Invalid churned value
446,Invalid join date
446,Invalid last purchase date
446,Invalid churned value
447,Invalid join date
447,Invalid last purchase date
447,Invalid churned value
448,Invalid join date
448,Invalid last purchase date
448,Invalid churned value
449,Invalid join date
449,Invalid last purchase date
449,Invalid churned value
450,Invalid join date
450,Invalid last purchase date
450,Invalid churned value
451,Invalid join date
451,Invalid last purchase date
451,Invalid churned value
452,Invalid join date
